companyName,wiki_id,url,Turnover,turnover_currency,no_employees,23_scope1,23_scope2MB,23_scope2LB,23_scope3,23_total,23_scope1_2Sum,23_scope3Sum,23_totalSum,23_scope3_1,23_scope3_2,23_scope3_3,23_scope3_4,23_scope3_5,23_scope3_6,23_scope3_7,23_scope3_8,23_scope3_9,23_scope3_10,23_scope3_11,23_scope3_12,23_scope3_13,23_scope3_14,23_scope3_15,23_scope3_16,23_biogenic
New Wave Group,,https://www.nwg.se/globalassets/reports/arsredovisningar/en/2023/nwg__sustainability_2023_april_2_en_hq.pdf,9512900000,SEK,2450,"2,849","4,096",,352433,,6945,352433,359378,323859,,,17968,,10606,,,,,,,,,,,
Nibe Industrier,Q10600414,https://www.nibe.com/download/18.73ecfa7d18e33e4c98d29a5/1712924240073/NIBE%20Industrier%202023%20report_sv.pdf,46649000000,SEK,22462,"32,358","1,803","57,991",42020907,,34161,42020907,42055068,359001,,,,,,,,,,41349641,,,,,312265,
Nolato,Q10601765,https://storage.mfn.se/f0a7412d-0a33-4c73-837c-cb62c9dc6ac0/nolato-arsredovisning-2023.pdf?,9546000000,SEK,5732,"1,585","10,607","40,039",315799,327991,12192,315799,327991,244022,10465,3065,5253,680,1638,7522,1131,32255,6182,395,3182,,,10,,
Nordea Bank,Q1123823,https://www.nordea.com/en/doc/annual-report-nordea-bank-abp-2023.pdf,,,29153,"1,142","3,116","6,401",,,4258,25006555,25010813,,,,,,,,,,,,,,,24990441,,
Nordnet,Q3366005,https://mb.cision.com/Main/116/3946197/2671469.pdf,1617200000,SEK,745,0,58,,645,703,58,645,703,236,,66,85,,189,69,,,,,,,,,,
NP3 Fastigheter,Q106625028,https://storage.mfn.se/f979d883-1e3e-400a-8fd9-61b9fded7fed/arsredovisning-2023.pdf,1797000000,SEK,55,135,"5,099",,6380,11614,5234,6380,11614,69,4413,1888,,,10,,,,,,,,,,,
Nyfosa,Q115167358,https://nyfosa.se/sv/wp-content/uploads/sites/3/2024/04/Arsredovisning-2023-240325.pdf,132000000,SEK,84,845,"8,771",,1197,,9616,1197,10813,,,1189,,,8,,,,,,,,,,,
OKQ8 Scandinavia,Q2789310,https://www.okq8.se/~/media/miljo_csr/dokument/hallbarhetsrapporter/hr202223/okq8--hallbarhetsredovisning-2022-23-pdf-svensk.pdf,58600000000,SEK,4136,850,915,"6,034",8670250,8672015,1765,8670250,8672015,1895118,,2153,6808,1998,145,,,,,6748024,,16003,,,,1259768
OX2,Q10605629,https://www.ox2.com/files/mfn/1e9b96e7-d05f-4833-8f1b-d0d6d1032edf/ox2-annual-and-sustainability-report-2023.pdf,7824000000,SEK,410,20,144,119,504395,504559,164,504395,504559,409790,,23,,1,774,30,,,,93777,,,,,,
Pandox,Q31884527,https://www.pandox.se/files/reports-presentations/2023/PANDOX_AR23_EN.pdf,6848000000,SEK,1442,"5,435","4,546","7,418",95116,105097,9981,95116,105097,42253,,2083,,,,,,,,,,50774,,,,
Peab,Q4356297,https://peab.se/globalassets/cision/documents/swedish/peab_-_ars-_och_hallbarhetsredovisning_2023.pdf,61600000000,SEK,13808,"173,000","15,000","6,000",950000,,188000,950000,1138000,,,,,,,,,,,,,,,,,
PostNord,Q3181430,https://www.postnord.com/siteassets/documents/investor-relations/finansiell-rapportering/ars--och-hallbarhetsredovisningar/postnord_2023_annualreport_se.pdf,39301000000,SEK,24604,"32,072","5,608","15,612",447101,484781,37680,447101,484781,11216,130375,23370,267830,,1400,12991,,,,,,,,,,146709
Ratos,Q7295902,https://www.ratos.com/493418/globalassets/reports-and-presentation/2023/swedish/2023_ar.pdf,33748000000,SEK,11054,"60,757","1,335,478","94,952",52,,1396235,52,1396287,,,,,,,47,,,,,,,,,5,
Saab,Q219501,https://www.saab.com/globalassets/corporate/investor-relations/pdf/saab-annual-and-sustainability-report-2023.pdf,51609000000,SEK,20479,"13,505","8,428","16,597",,,21933,645894,667827,433998,,,,,,,,,,191500,,,,,20406,1058
Sagax,Q10660042,https://www.sagax.se/sites/default/files/pr/202404151665-1.pdf,4293000000,SEK,92,6,42,37,49498,49542,48,49498,49546,2,,9,,,97,,,,,,,49390,,,,
